Name,Handedness,Height,Average_Height,Weight,Average_Weight,Batting_Average,Home_Runs,BMI,Health_Condition
Gates Brown,Left,71,Below,220,Above,0.257,84,30.68042055,Obese
Joe Foy,Right,72,Below,215,Above,0.248,58,29.1560571,Obese
Willie Horton,Right,71,Below,209,Above,0.273,325,29.14639952,Obese
Greg Luzinski,Right,73,Below,220,Above,0.276,307,29.02233064,Obese
Darryl Motley,Right,69,Below,196,Above,0.243,44,28.94097879,Obese
John Ellis,Right,74,Above,225,Above,0.262,69,28.88513514,Obese
Mike Epstein,Left,75,Above,230,Above,0.244,130,28.74488889,Obese
Dave Lemanczyk,Right,76,Above,235,Above,0,0,28.60197368,Obese
Tony Solaita,Left,72,Below,210,Above,0.255,50,28.47800926,Obese
Tony Cloninger,Right,72,Below,210,Above,0.192,11,28.47800926,Obese
Gail Hopkins,Left,70,Below,198,Above,0.266,25,28.40693878,Obese
Don Leppert,Right,74,Above,220,Above,0.229,15,28.24324324,Obese
Boog Powell,Left,76,Above,230,Above,0.266,339,27.99342105,Obese
Mike Brumley,Left,70,Below,195,Above,0.229,5,27.97653061,Obese
Carlos May,Left,71,Below,200,Above,0.274,90,27.89129141,Obese
Jack Lazorko,Right,71,Below,200,Above,0,0,27.89129141,Obese
Alex Johnson,Right,72,Below,205,Above,0.288,78,27.79996142,Obese
Pat Putnam,Left,72,Below,205,Above,0.255,63,27.79996142,Obese
Mark Brouhard,Right,73,Below,210,Above,0.259,25,27.7031338,Obese
Burt Hooton,Right,73,Below,210,Above,0.123,4,27.7031338,Obese
Lamar Johnson,Right,74,Above,215,Above,0.287,64,27.60135135,Obese
Jeff Newman,Right,74,Above,215,Above,0.224,63,27.60135135,Obese
Ray Fosse,Right,74,Above,215,Above,0.256,61,27.60135135,Obese
Dave Nicholson,Right,74,Above,215,Above,0.212,61,27.60135135,Obese
Doc Edwards,Right,74,Above,215,Above,0.238,15,27.60135135,Obese
Mark Smith,Right,74,Above,215,Above,0,0,27.60135135,Obese
Ken Phelps,Left,73,Below,209,Above,0.239,123,27.57121411,Obese
Steve Garvey,Right,70,Below,192,Above,0.294,272,27.54612245,Obese
Willie Aikens,Left,75,Above,220,Above,0.271,110,27.49511111,Obese
Bruce Tanner,Left,75,Above,220,Above,0,0,27.49511111,Obese
Jim French,Left,68,Below,180,Below,0.196,5,27.36591696,Obese
Steve Renko,Right,77,Above,230,Above,0.215,6,27.27104065,Obese
Merv Rettenmund,Right,70,Below,190,Below,0.271,66,27.25918367,Obese
Buck Martinez,Right,70,Below,190,Below,0.225,58,27.25918367,Obese
Floyd Rayford,Right,70,Below,190,Below,0.244,38,27.25918367,Obese
Ed Ott,Left,70,Below,190,Below,0.259,33,27.25918367,Obese
Jim Fairey,Left,70,Below,190,Below,0.235,7,27.25918367,Obese
Bob Watson,Right,72,Below,201,Above,0.295,184,27.25752315,Obese
Joe Torre,Right,74,Above,212,Above,0.297,252,27.21621622,Obese
Tommie Agee,Right,71,Below,195,Above,0.255,130,27.19400913,Obese
Ed Kirkpatrick,Left,71,Below,195,Above,0.238,85,27.19400913,Obese
Doug Camilli,Right,71,Below,195,Above,0.199,18,27.19400913,Obese
Dave Frost,Right,78,Above,235,Above,0,0,27.15401052,Obese
Bryan Clutterbuck,Right,76,Above,223,Above,0,0,27.14144737,Obese
Ron LeFlore,Right,72,Below,200,Above,0.288,59,27.12191358,Obese
Ron Jackson,Right,72,Below,200,Above,0.259,56,27.12191358,Obese
Carmen Fanzone,Right,72,Below,200,Above,0.224,20,27.12191358,Obese
Dick Bertell,Right,72,Below,200,Above,0.25,10,27.12191358,Obese
Bill Fahey,Left,72,Below,200,Above,0.241,7,27.12191358,Obese
Carl Morton,Right,72,Below,200,Above,0.156,7,27.12191358,Obese
Ray Culp,Right,72,Below,200,Above,0.123,1,27.12191358,Obese
Bobby Valentine,Right,70,Below,189,Below,0.26,12,27.11571429,Obese
Bob Galasso,Left,73,Below,205,Above,0,0,27.04353537,Obese
Steve Hovley,Left,70,Below,188,Below,0.258,8,26.9722449,Overweight
Gorman Thomas,Right,74,Above,210,Above,0.225,268,26.95945946,Overweight
Wayne Gross,Left,74,Above,210,Above,0.233,121,26.95945946,Overweight
Bob Brenly,Right,74,Above,210,Above,0.247,91,26.95945946,Overweight
Rick Anderson,Right,74,Above,210,Above,0,0,26.95945946,Overweight
Terry Wilshusen,Right,74,Above,210,Above,0,0,26.95945946,Overweight
Ted Simmons,Both,71,Below,193,Above,0.285,248,26.91509621,Overweight
Stefan Wever,Right,80,Above,245,Above,0,0,26.91171875,Overweight
Steve Huntz,Both,73,Below,204,Above,0.206,16,26.91161569,Overweight
John Mayberry,Left,75,Above,215,Above,0.253,255,26.87022222,Overweight
Earl Williams,Right,75,Above,215,Above,0.247,138,26.87022222,Overweight
Charlie Spikes,Right,75,Above,215,Above,0.246,65,26.87022222,Overweight
Dave Roberts,Right,75,Above,215,Above,0.239,49,26.87022222,Overweight
John Orsino,Right,75,Above,215,Above,0.249,40,26.87022222,Overweight
Brant Alyea,Right,75,Above,215,Above,0.247,38,26.87022222,Overweight
George Vukovich,Left,72,Below,198,Above,0.268,27,26.85069444,Overweight
Bombo Rivera,Right,70,Below,187,Below,0.265,10,26.82877551,Overweight
Johnny Edwards,Left,76,Above,220,Above,0.242,81,26.77631579,Overweight
Willie Mueller,Right,76,Above,220,Above,0,0,26.77631579,Overweight
Pete Rose,Both,71,Below,192,Above,0.303,160,26.77563975,Overweight
Doug Rader,Right,74,Above,208,Above,0.251,155,26.7027027,Overweight
Dave May,Left,70,Below,186,Below,0.251,96,26.68530612,Overweight
Dave Hilton,Right,71,Below,191,Above,0.213,6,26.6361833,Overweight
Walt Williams,Right,66,Below,165,Below,0.27,33,26.62878788,Overweight
Leron Lee,Left,72,Below,196,Above,0.25,31,26.57947531,Overweight
Jerry Turner,Left,69,Below,180,Below,0.257,45,26.57844991,Overweight
Ron Cey,Right,70,Below,185,Below,0.261,316,26.54183673,Overweight
Rich Rollins,Right,70,Below,185,Below,0.269,77,26.54183673,Overweight
Jerry Grote,Right,70,Below,185,Below,0.252,39,26.54183673,Overweight
Vic Correll,Right,70,Below,185,Below,0.229,29,26.54183673,Overweight
Norm Miller,Left,70,Below,185,Below,0.238,24,26.54183673,Overweight
Chuck Harrison,Right,70,Below,185,Below,0.238,17,26.54183673,Overweight
Steve Nicosia,Right,70,Below,185,Below,0.248,11,26.54183673,Overweight
Tom Egan,Right,76,Above,218,Above,0.2,22,26.53289474,Overweight
Thurman Munson,Right,71,Below,190,Below,0.292,113,26.49672684,Overweight
Skip Jutze,Right,71,Below,190,Below,0.215,3,26.49672684,Overweight
Mike Paxton,Right,71,Below,190,Below,0,0,26.49672684,Overweight
Tim Laudner,Right,75,Above,212,Above,0.225,77,26.49528889,Overweight
Reggie Jackson,Left,72,Below,195,Above,0.262,563,26.44386574,Overweight
Sal Bando,Right,72,Below,195,Above,0.254,242,26.44386574,Overweight
Al Oliver,Left,72,Below,195,Above,0.303,219,26.44386574,Overweight
Steve Kemp,Left,72,Below,195,Above,0.278,130,26.44386574,Overweight
Mike Jorgensen,Left,72,Below,195,Above,0.243,95,26.44386574,Overweight
Mike Hargrove,Left,72,Below,195,Above,0.29,80,26.44386574,Overweight
Joe Hague,Left,72,Below,195,Above,0.239,40,26.44386574,Overweight
